terrain,sample_count,MAE,RMSE,R2,mean_signed_error,negative_target_pct
DOWNHILL,260,0.05503530807689957,0.07585721468036759,0.39815372587049713,0.021228031231281613,7.6923076923076925
FLAT,1177,0.06489898569795043,0.09058394837455906,0.22723853378931358,0.0015649777792490773,2.463891248937978
UPHILL,243,0.06148234817494769,0.08830148964959403,0.15295019605354254,0.0009648419419604211,1.646090534979424
