dataset,vehicle_model,n_trips,mean_target_kwh_per_km,std_target,kwh_per_10km_battery_dacia,kwh_per_10km_battery_nissan,battery_capacity_mean_dacia,battery_capacity_mean_nissan,mean_speed_kmh,mean_soc_pct,mean_altitude_m,mean_ambient_temp_c,mean_motor_power_kw,mean_gradient_pct,target_difference
DEVRT,Dacia Spring,3628,0.144442,0.067,0.110,0.152,33.7,58.9,85.44,77.87,131.9,17.5,10.8,0.06,-0.015
DEVRT,Nissan Leaf,3272,0.159335,0.078,0.110,0.152,58.9,33.7,59.14,78.46,132.8,16.9,7.0,-0.24,-0.015
